material_name,description,unit_price,unit,region,vendor,vat_rate,quality_score,updated_at,source
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",19.88,€/unit,Île-de-France,Castorama,20,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",8.69,€/liter,Île-de-France,PointP,20,2,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,8.54,€/liter,PACA,Leroy Merlin,10,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,12.31,€/liter,PACA,Brico Dépôt,20,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,11.89,€/liter,Occitanie,Brico Dépôt,10,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",17.62,€/unit,Île-de-France,PointP,20,1,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,2.28,€/kg,Occitanie,DonizoSim,20,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",3.2,€/kg,Île-de-France,PointP,20,2,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",41.15,€/m²,PACA,Castorama,,3,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,6.62,€/liter,PACA,Leroy Merlin,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,21.41,€/m²,Occitanie,Leroy Merlin,20,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,10.53,€/liter,Belgium,Leroy Merlin,20,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,31.67,€/m²,Occitanie,PointP,,1,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,9.32,€/liter,Belgium,Brico Dépôt,,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",1.75,€/kg,Belgium,PointP,20,4,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,6.01,€/liter,Auvergne-Rhône-Alpes,Brico Dépôt,20,5,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,9.55,€/unit,Occitanie,Brico Dépôt,20,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,7.04,€/liter,PACA,Brico,,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,5.34,€/unit,Auvergne-Rhône-Alpes,DonizoSim,20,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,5.03,€/liter,Occitanie,Castorama,20,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,7.43,€/liter,Île-de-France,Leroy Merlin,10,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",20.0,€/m²,Belgium,Castorama,20,5,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,15.61,€/unit,Auvergne-Rhône-Alpes,Brico,20,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,6.99,€/liter,Île-de-France,DonizoSim,20,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",2.44,€/kg,Belgium,Leroy Merlin,10,3,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,14.21,€/unit,Occitanie,Brico Dépôt,20,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",8.11,€/unit,Occitanie,Brico,,4,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,14.66,€/liter,PACA,Brico Dépôt,10,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,4.33,€/unit,Île-de-France,PointP,,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,3.06,€/kg,Auvergne-Rhône-Alpes,Brico Dépôt,10,1,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,36.87,€/m²,Belgium,DonizoSim,10,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,9.42,€/liter,Occitanie,DonizoSim,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",12.93,€/liter,Occitanie,DonizoSim,10,3,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,10.8,€/unit,Île-de-France,DonizoSim,,3,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.39,€/kg,Auvergne-Rhône-Alpes,Brico Dépôt,20,3,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",14.98,€/unit,Île-de-France,PointP,,5,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,13.12,€/liter,Belgium,DonizoSim,,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",38.68,€/m²,PACA,PointP,20,5,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,4.7,€/unit,Île-de-France,DonizoSim,,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",3.15,€/kg,Île-de-France,PointP,,1,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",1.89,€/kg,PACA,Leroy Merlin,20,4,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,16.13,€/unit,Île-de-France,Leroy Merlin,20,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,14.81,€/m²,PACA,DonizoSim,,4,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,22.15,€/unit,Île-de-France,PointP,,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",41.12,€/m²,Belgium,PointP,20,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",9.56,€/liter,PACA,Brico Dépôt,,3,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,2.71,€/kg,Auvergne-Rhône-Alpes,PointP,20,1,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,2.58,€/kg,Occitanie,Leroy Merlin,10,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",24.92,€/unit,Auvergne-Rhône-Alpes,Leroy Merlin,10,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,26.28,€/m²,Auvergne-Rhône-Alpes,Castorama,,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,12.02,€/m²,Occitanie,Leroy Merlin,10,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,12.39,€/liter,Occitanie,DonizoSim,20,3,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,7.5,€/liter,Île-de-France,Brico Dépôt,10,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",32.13,€/m²,Auvergne-Rhône-Alpes,Brico,10,4,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,37.72,€/m²,Occitanie,PointP,20,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,11.45,€/unit,Auvergne-Rhône-Alpes,DonizoSim,10,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.59,€/kg,Belgium,Brico,20,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,9.25,€/liter,Occitanie,Leroy Merlin,10,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,13.45,€/unit,Auvergne-Rhône-Alpes,PointP,20,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",2.84,€/kg,Belgium,Brico,10,5,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,8.21,€/unit,Belgium,Leroy Merlin,10,4,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,3.03,€/kg,PACA,PointP,,4,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,8.45,€/unit,Auvergne-Rhône-Alpes,Leroy Merlin,20,1,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,24.92,€/m²,Occitanie,Castorama,10,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,3.36,€/kg,Île-de-France,PointP,,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,10.19,€/unit,Auvergne-Rhône-Alpes,Brico Dépôt,,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,12.27,€/unit,Belgium,PointP,10,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",16.03,€/m²,PACA,DonizoSim,,3,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,19.91,€/unit,Occitanie,Brico Dépôt,10,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",29.91,€/m²,Occitanie,Castorama,,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,18.1,€/unit,Occitanie,Brico,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,36.03,€/m²,Belgium,Brico Dépôt,10,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,6.21,€/liter,Île-de-France,PointP,10,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.5,€/kg,Belgium,Leroy Merlin,20,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",13.27,€/liter,PACA,DonizoSim,10,2,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",7.1,€/liter,PACA,Brico Dépôt,,3,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,12.21,€/unit,Occitanie,Castorama,10,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",36.85,€/m²,Occitanie,PointP,10,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.78,€/kg,Belgium,Castorama,20,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,13.95,€/liter,Île-de-France,Brico,10,4,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,7.6,€/liter,Belgium,PointP,20,3,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",2.71,€/kg,PACA,PointP,,4,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,2.47,€/kg,PACA,Castorama,,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.46,€/kg,Auvergne-Rhône-Alpes,PointP,10,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,3.06,€/kg,Auvergne-Rhône-Alpes,DonizoSim,20,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,14.61,€/unit,Occitanie,DonizoSim,,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",8.6,€/liter,Occitanie,Castorama,10,3,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,3.12,€/kg,Île-de-France,Leroy Merlin,20,5,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,10.97,€/liter,Occitanie,PointP,,1,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,1.88,€/kg,Belgium,PointP,20,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",36.41,€/m²,PACA,DonizoSim,,4,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,11.16,€/liter,Belgium,Leroy Merlin,,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.27,€/kg,Île-de-France,Leroy Merlin,20,1,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,35.88,€/m²,Occitanie,PointP,20,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",6.68,€/unit,PACA,Brico Dépôt,20,5,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.91,€/kg,PACA,DonizoSim,,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.38,€/kg,Belgium,DonizoSim,20,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",3.93,€/unit,Auvergne-Rhône-Alpes,Castorama,,3,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,11.78,€/liter,Île-de-France,Brico,10,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,9.34,€/liter,Occitanie,Brico Dépôt,20,4,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,19.59,€/unit,Île-de-France,DonizoSim,20,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",5.94,€/unit,PACA,Leroy Merlin,,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",43.16,€/m²,Occitanie,Brico Dépôt,20,1,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.8,€/kg,PACA,Brico Dépôt,,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,20.22,€/m²,Île-de-France,Leroy Merlin,20,1,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,22.0,€/m²,PACA,Castorama,20,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",14.02,€/liter,Auvergne-Rhône-Alpes,Brico Dépôt,,2,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,8.86,€/unit,Auvergne-Rhône-Alpes,DonizoSim,,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,13.62,€/unit,PACA,PointP,10,2,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,5.8,€/liter,Île-de-France,Brico Dépôt,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,24.98,€/m²,PACA,Brico,20,3,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",2.12,€/kg,Belgium,Castorama,,3,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
HydroFix Tile Glue White,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,32.19,€/m²,Auvergne-Rhône-Alpes,Leroy Merlin,20,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.94,€/kg,Île-de-France,PointP,10,5,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",8.99,€/liter,Île-de-France,Brico,,5,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,30.07,€/m²,Auvergne-Rhône-Alpes,Brico Dépôt,,5,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,12.85,€/liter,Île-de-France,DonizoSim,10,2,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,19.47,€/unit,Belgium,Leroy Merlin,20,3,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,12.0,€/liter,Belgium,PointP,,3,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,2.13,€/kg,Auvergne-Rhône-Alpes,Leroy Merlin,,1,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
HydroFix Waterproof Adhesive,High-bond waterproof tile adhesive for interior walls; wet areas like shower; white,2.74,€/kg,Occitanie,Brico Dépôt,10,5,2025-08-03T14:30:00Z,https://www.leroymerlin.fr/produit/hydrofix-adhesive
Outdoor Cement Mix,"Weather-resistant cement mix for outdoor tiling, durable; suitable for patios",14.31,€/m²,Occitanie,Brico,10,2,2025-08-03T14:30:00Z,https://www.pointp.fr/produit/outdoor-cement-mix
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",11.25,€/liter,Belgium,Castorama,,4,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,10.99,€/liter,PACA,Brico Dépôt,,2,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Primer Seal Coat,Primer for porous surfaces; improves adhesion; interior,25.48,€/m²,Île-de-France,Leroy Merlin,20,5,2025-08-03T14:30:00Z,https://www.brico.be/produit/primer-seal-coat
Grout Anti-Mold White,Tile grout with anti-mold additive; white; bathroom and kitchen use,17.39,€/unit,Île-de-France,Brico,10,4,2025-08-03T14:30:00Z,https://www.bricodepot.fr/produit/grout-anti-mold-white
Matte White Ceramic Tile 60x60,"60x60cm waterproof ceramic tile, matte finish, wall, indoor, bathroom",14.16,€/liter,PACA,PointP,,5,2025-08-03T14:30:00Z,https://www.castorama.fr/produit/matte-white-ceramic-tile-60x60
